timestamp,open,high,low,close,volume
2022-01-01 00:00:00,30011.27,30030.06,29981.56,30024.84,1126.0
2022-01-01 00:01:00,30011.81,30022.17,29995.99,30017.92,4201.0
2022-01-01 00:02:00,30038.36,30064.35,30029.55,30050.31,2760.0
2022-01-01 00:03:00,30128.67,30137.36,30124.21,30126.46,4504.0
2022-01-01 00:04:00,30138.69,30161.05,30099.39,30114.75,2506.0
2022-01-01 00:05:00,30087.62,30112.86,30077.21,30103.04,3105.0
2022-01-01 00:06:00,30202.02,30232.01,30164.31,30182.0,3849.0
2022-01-01 00:07:00,30204.74,30243.76,30199.17,30220.38,775.0
2022-01-01 00:08:00,30179.95,30200.38,30178.8,30196.9,2949.0
2022-01-01 00:09:00,30240.4,30272.91,30220.1,30224.03,617.0
2022-01-01 00:10:00,30219.3,30231.34,30196.82,30200.86,4579.0
2022-01-01 00:11:00,30194.6,30201.32,30151.73,30177.57,4085.0
2022-01-01 00:12:00,30163.36,30198.46,30146.06,30189.67,2686.0
2022-01-01 00:13:00,30084.69,30109.7,30078.64,30094.01,4803.0
2022-01-01 00:14:00,30024.22,30032.07,29961.36,30007.76,261.0
2022-01-01 00:15:00,29980.48,29981.55,29970.04,29979.65,700.0
2022-01-01 00:16:00,29907.53,29949.09,29886.94,29929.01,1659.0
2022-01-01 00:17:00,29953.88,29976.64,29934.42,29944.72,764.0
2022-01-01 00:18:00,29885.02,29913.7,29876.04,29899.32,3881.0
2022-01-01 00:19:00,29864.59,29891.91,29820.55,29828.7,2139.0
2022-01-01 00:20:00,29932.88,29966.08,29886.98,29901.98,4676.0
2022-01-01 00:21:00,29902.78,29905.85,29879.55,29890.7,3890.0
2022-01-01 00:22:00,29921.29,29923.53,29889.44,29894.07,4416.0
2022-01-01 00:23:00,29824.13,29829.17,29816.51,29822.83,1872.0
2022-01-01 00:24:00,29810.92,29824.94,29779.16,29795.61,4705.0
2022-01-01 00:25:00,29830.72,29851.34,29797.68,29801.16,1490.0
2022-01-01 00:26:00,29748.52,29776.62,29727.94,29743.61,4386.0
2022-01-01 00:27:00,29757.29,29775.8,29721.46,29762.4,1817.0
2022-01-01 00:28:00,29698.27,29733.61,29696.79,29732.36,2057.0
2022-01-01 00:29:00,29716.12,29724.53,29692.46,29717.78,1759.0
2022-01-01 00:30:00,29704.16,29710.47,29687.31,29687.69,3188.0
2022-01-01 00:31:00,29799.22,29817.01,29769.6,29780.31,2178.0
2022-01-01 00:32:00,29789.72,29809.4,29753.55,29779.63,3044.0
2022-01-01 00:33:00,29715.92,29733.74,29701.85,29726.75,1927.0
2022-01-01 00:34:00,29728.34,29778.8,29720.45,29767.88,2539.0
2022-01-01 00:35:00,29696.93,29708.97,29695.5,29706.83,1216.0
2022-01-01 00:36:00,29711.19,29730.67,29696.57,29717.28,2105.0
2022-01-01 00:37:00,29613.03,29621.51,29598.36,29619.29,1261.0
2022-01-01 00:38:00,29565.25,29583.51,29551.83,29552.88,4219.0
2022-01-01 00:39:00,29602.44,29625.27,29560.9,29562.73,267.0
2022-01-01 00:40:00,29602.12,29607.35,29590.35,29599.65,2100.0
2022-01-01 00:41:00,29603.88,29609.3,29602.81,29608.22,388.0
2022-01-01 00:42:00,29597.25,29642.52,29584.99,29602.44,1137.0
2022-01-01 00:43:00,29589.87,29606.16,29586.44,29587.38,2585.0
2022-01-01 00:44:00,29496.89,29525.66,29484.05,29513.45,3464.0
2022-01-01 00:45:00,29479.87,29494.09,29475.84,29477.46,4923.0
2022-01-01 00:46:00,29463.45,29474.05,29439.48,29454.43,2231.0
2022-01-01 00:47:00,29511.48,29523.75,29489.66,29507.29,4564.0
2022-01-01 00:48:00,29533.62,29545.88,29501.48,29524.47,4073.0
2022-01-01 00:49:00,29444.99,29469.26,29435.58,29436.32,1284.0
2022-01-01 00:50:00,29417.08,29483.59,29405.56,29452.52,2453.0
2022-01-01 00:51:00,29446.0,29451.43,29432.79,29433.27,1582.0
2022-01-01 00:52:00,29386.0,29421.13,29381.19,29399.42,3767.0
2022-01-01 00:53:00,29408.09,29451.15,29375.93,29430.0,4905.0
